id;libelle;date_attribution;delaiexecution;objet;montant;examen_dncmp;examen_ptf;chapitre_imputation;autorisation_engagement;date_reception_dossier;date_non_objection;date_autorisation;date_recep_non_objection;date_recep_doss_corrige;date_pub_par_prmp;date_ouverture_plis;date_recep_non_object_ocmp;date_recep_rapport_eva;date_recep_non_object_ptf;date_examen_juridique;date_notif_contrat;date_approbation_contrat;plan_passation_id
1;Montmorency c;2022-10-02;66735;Euro XSS navigating;43379;12786;79624;redundant foreground;Centre;2022-10-02;2022-10-02;2022-10-02;2022-10-02;2022-10-02;2022-10-03;2022-10-03;2022-10-03;2022-10-02;2022-10-03;2022-10-03;2022-10-02;2022-10-03;1
2;Auvergne;2022-10-03;23932;c disintermediate;31295;12668;93904;Generic;Indian;2022-10-03;2022-10-03;2022-10-02;2022-10-03;2022-10-03;2022-10-02;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-02;2022-10-03;2022-10-03;2
3;initiatives;2022-10-03;46275;Bretagne Frozen silver;55518;37965;30175;Lorraine redefine core;Handcrafted Bacon array;2022-10-03;2022-10-02;2022-10-03;2022-10-03;2022-10-03;2022-10-02;2022-10-02;2022-10-03;2022-10-03;2022-10-03;2022-10-02;2022-10-03;2022-10-02;3
4;Midi-Pyrénées architect PNG;2022-10-03;98764;d'Orsel;61331;54964;34822;Gloves parsing;redundant azure;2022-10-02;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-03;4
5;withdrawal models;2022-10-02;92683;invoice a;5044;87288;35230;input wireless Architecte;internet;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-02;2022-10-03;2022-10-02;2022-10-03;2022-10-03;2022-10-02;2022-10-02;5
6;CSS Steel;2022-10-02;96507;Tala Specialiste;84735;51800;99245;bandwidth;Awesome Bedfordshire Sports;2022-10-03;2022-10-03;2022-10-02;2022-10-03;2022-10-02;2022-10-02;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-02;6
7;b transition Zealand;2022-10-03;37338;Small alarm Borders;17324;55806;1173;magenta Awesome;unleash SQL Forint;2022-10-03;2022-10-02;2022-10-02;2022-10-03;2022-10-03;2022-10-03;2022-10-02;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-03;2022-10-02;7
8;generating a;2022-10-03;59164;Solférino index New;81611;46716;70995;la;magenta Avon;2022-10-03;2022-10-03;2022-10-03;2022-10-02;2022-10-03;2022-10-03;2022-10-02;2022-10-03;2022-10-02;2022-10-02;2022-10-03;2022-10-03;2022-10-02;8
9;reinvent cyan;2022-10-02;62822;Cambridgeshire Electronics;45365;40004;95991;superstructure Jewelery;intangible PCI Shoes;2022-10-03;2022-10-02;2022-10-03;2022-10-02;2022-10-03;2022-10-03;2022-10-03;2022-10-02;2022-10-03;2022-10-02;2022-10-03;2022-10-03;2022-10-03;9
10;initiatives;2022-10-03;75194;EXE Account;55243;7848;60120;Kip paradigm;Hat Jamaïque bypass;2022-10-03;2022-10-03;2022-10-03;2022-10-02;2022-10-02;2022-10-02;2022-10-02;2022-10-03;2022-10-02;2022-10-03;2022-10-03;2022-10-02;2022-10-02;10
