id;code;libelle;description;syg_type_service_id
1;Franche-Comté;project Gloves Mouse;Incredible;1
2;c Corse web-readiness;Fresh orchid;Concrete Wooden;2
3;Multi-tiered PNG Multi-layered;synthesizing;Dollar Rustic;3
4;synthesizing hack;c a PNG;up Bike Nesle;4
5;info-mediaries Account;withdrawal a mobile;global Niger;5
6;Sausages Berkshire;Borders de;a;6
7;Granite deploy c;PNG;application Loan;7
8;Picardie Enterprise-wide;Vatu Arabie Turkish;program de a;8
9;Refined;Loan Swaziland lime;Focused solution-oriented;9
10;Down-sized JSON;Auto Bourgogne Incredible;program copying data-warehouse;10
