id;code;designation;commentaire
1;Rubber;1080p Handmade;groupware Nord Optimized
2;background a;a Centre;Limousin Wooden
3;payment;sensor leverage synthesizing;Caumartin
4;array Frozen Granite;Franc;portal Saint-Vincent-et-les-Grenadines Car
5;Seychelles initiatives Belize;Intelligent haptic Chaussée-d'Antin;parsing
6;Tasty feed;Superviseur Guyane;array Kids
7;Chicken;encoding Loan Centre;JBOD Champagne-Ardenne
8;Rustic payment Bedfordshire;platforms;impactful Organic
9;Toys FTP;Stagiaire;c
10;deposit;connecting monitoring;dedicated
