id;code;libelle;taux;date_debut;date_fin;invalid
1;1080p b;Music;63663;2021-11-03T11:23:19;2021-11-04T02:04:45;true
2;Manager Checking bandwidth-monitored;1080p;15805;2021-11-03T17:13:36;2021-11-03T17:23:30;true
3;USB;transform Configurable Shoes;77495;2021-11-04T09:54:03;2021-11-03T16:14:14;true
4;copying target;HDD Soft transmitter;75899;2021-11-04T07:31:02;2021-11-04T06:29:49;true
5;Bretagne Belgique compressing;e-tailers;8549;2021-11-03T23:02:36;2021-11-03T22:17:15;false
6;Brésil orchid;uniform Uruguay 6th;83092;2021-11-04T05:53:12;2021-11-03T11:08:53;false
7;Nord-Pas-de-Calais;Plastic Specialiste;17720;2021-11-04T08:46:59;2021-11-04T03:43:43;true
8;Grocery coherent;reboot needs-based;46511;2021-11-03T11:32:25;2021-11-04T00:51:29;false
9;Auto project virtual;Alsace;2952;2021-11-04T02:24:19;2021-11-03T16:24:54;true
10;Chair;Cotton transmit Toys;60055;2021-11-03T14:39:04;2021-11-04T10:22:59;true
