id;libelle;code;unite;valeur;debut_validite;fin_validite;commentaires
1;Taka a;Brésil neutral;open-source Tuvalu Adolphe;12363;2021-08-14T04:42:24;2021-08-13T17:25:17;a
2;Iraqi Secured Wooden;AGP Granite;Rubber ubiquitous;31625;2021-08-13T22:03:48;2021-08-14T11:14:39;hacking productize pixel
3;Aquitaine Charlemagne a;Savings b;Sausages;55999;2021-08-14T06:48:06;2021-08-14T06:34:09;Coordinateur
4;e-markets c hybrid;HDD de;utilize;10688;2021-08-14T09:31:19;2021-08-14T06:06:40;Danemark
5;a capacitor back-end;Phased Pakistan Cuban;Moroccan Practical User-friendly;99324;2021-08-14T04:39:02;2021-08-13T22:00:41;microchip
6;Rupee Metical;next-generation strategize indigo;matrix ability TCP;21876;2021-08-13T19:48:47;2021-08-14T05:19:27;Borders
7;driver Nepalese Shoes;Clothing RSS protocol;blue deposit;21603;2021-08-14T08:24:09;2021-08-14T07:01:32;B2B ROI
8;user-facing calculating Champagne-Ardenne;Distributed d'Azur Steel;withdrawal;28599;2021-08-13T14:37:43;2021-08-14T07:19:03;payment Adaptive overriding
9;Computer invoice c;protocol;Cambridgeshire;85735;2021-08-13T13:59:54;2021-08-14T08:45:08;Bedfordshire Future-proofed
10;Île-de-France;Dirham Sleek;open-source state;83088;2021-08-13T15:25:19;2021-08-13T17:24:05;success
