id;libelle;type_garantie;description
1;Cheese intangible Metal;Soft;Fresh
2;Manager Cotton Savings;bypass Concrete;Innovative
3;monitoring c Practical;hacking c d'Azur;Népal
4;Robust alarm connect;Digitized c Bacon;product collaborative
5;real-time Agent orchestration;grey state Account;parsing
6;Down-sized;silver impactful c;payment red
7;blue;violet Streamlined Poitou-Charentes;bandwidth
8;Upgradable;Brunei;ROI Cotton
9;Coordinateur;Alsace;Soap
10;e-commerce Cotton metrics;conglomeration;Towels haptic override
